Cupy,(10000, 1000),0.9,0.95981,0.96391,0.01999
Grady - fill and shuffle,(10000, 10000),0.1,9.08848,9.04473,0.12098
Grady - min col or row,(10000, 10000),0.1,10.97195,10.95171,0.10978
Grady - max col or row,(10000, 10000),0.1,9.38887,9.35904,0.09061
Grady - all zeros,(10000, 10000),0.1,21.28888,21.23290,0.23971
Grady - all ones,(10000, 10000),0.1,8.57097,8.53197,0.10495
Grady - total fill percentage,(10000, 10000),0.1,9.58287,9.56124,0.12028
Curveball,(10000, 10000),0.1,74.29676,73.92292,0.85275
Cupy,(10000, 10000),0.1,8.71362,8.70293,0.09233
Grady - fill and shuffle,(10000, 10000),0.2,8.62112,8.56863,0.11957
Grady - min col or row,(10000, 10000),0.2,10.95375,10.94519,0.05512
Grady - max col or row,(10000, 10000),0.2,9.48377,9.48080,0.07583
Grady - all zeros,(10000, 10000),0.2,24.77779,24.59076,0.62978
Grady - all ones,(10000, 10000),0.2,8.47096,8.47251,0.03953
Grady - total fill percentage,(10000, 10000),0.2,9.60481,9.63402,0.06653
Curveball,(10000, 10000),0.2,140.63720,140.61035,0.19420
Cupy,(10000, 10000),0.2,8.72615,8.73597,0.05452
Grady - fill and shuffle,(10000, 10000),0.3,8.53007,8.53300,0.02962
Grady - min col or row,(10000, 10000),0.3,11.08080,11.08986,0.06357
Grady - max col or row,(10000, 10000),0.3,9.56613,9.55695,0.06571
Grady - all zeros,(10000, 10000),0.3,30.75637,30.69755,0.27164
Grady - all ones,(10000, 10000),0.3,8.39131,8.38588,0.03547
Grady - total fill percentage,(10000, 10000),0.3,9.74837,9.76810,0.06048
Curveball,(10000, 10000),0.3,197.28314,197.20516,0.23244
Cupy,(10000, 10000),0.3,8.86373,8.84688,0.07851
Grady - fill and shuffle,(10000, 10000),0.4,8.43337,8.42119,0.05628
Grady - min col or row,(10000, 10000),0.4,10.99615,10.99463,0.05919
Grady - max col or row,(10000, 10000),0.4,9.60177,9.57919,0.06796
Grady - all zeros,(10000, 10000),0.4,38.64687,38.58107,0.29159
Grady - all ones,(10000, 10000),0.4,8.33764,8.30529,0.10964
Grady - total fill percentage,(10000, 10000),0.4,9.86279,9.88636,0.06063
Curveball,(10000, 10000),0.4,238.12871,238.13689,0.36879
Cupy,(10000, 10000),0.4,8.99785,8.96983,0.14231
Grady - fill and shuffle,(10000, 10000),0.5,8.34720,8.35260,0.03562
Grady - min col or row,(10000, 10000),0.5,10.85382,10.83346,0.07510
Grady - max col or row,(10000, 10000),0.5,9.67790,9.67391,0.05402
Grady - all zeros,(10000, 10000),0.5,47.68915,47.84173,0.40169
Grady - all ones,(10000, 10000),0.5,8.19456,8.18072,0.03866
Grady - total fill percentage,(10000, 10000),0.5,9.79217,9.78687,0.05542
Curveball,(10000, 10000),0.5,272.26782,272.14505,0.48636
Cupy,(10000, 10000),0.5,8.90210,8.91631,0.06725
Grady - fill and shuffle,(10000, 10000),0.6,8.12584,8.13238,0.02730
Grady - min col or row,(10000, 10000),0.6,10.59879,10.59569,0.05142
